epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,291.832,3.88063,3.30234,2.76888,0.21824,0.12962,0.08132,0.0278,2.95312,2.4618,2.05253,0.0683727,0.0016646,0.0016646
2,574.899,2.50257,1.84957,1.64362,0.54981,0.28005,0.29427,0.12899,2.10023,1.47281,1.47551,0.0367028,0.00332801,0.00332801
3,857.009,2.09484,1.41735,1.37753,0.67957,0.34195,0.38066,0.18313,1.86251,1.21263,1.34475,0.00501983,0.00497842,0.00497842
4,1137.25,1.87899,1.21617,1.27506,0.72248,0.40762,0.46249,0.2222,1.70898,1.05221,1.24135,0.00495616,0.00495616,0.00495616
5,1418.19,1.75688,1.07676,1.21044,0.75589,0.44654,0.50397,0.25217,1.61012,0.97464,1.19793,0.00492224,0.00492224,0.00492224
6,1699.35,1.70601,1.01695,1.18527,0.75492,0.45623,0.51706,0.25871,1.58387,0.90381,1.18062,0.00487886,0.00487886,0.00487886
7,1979.93,1.64178,0.9567,1.1635,0.78011,0.4779,0.54401,0.2757,1.53551,0.85138,1.15597,0.0048262,0.0048262,0.0048262
8,2258.64,1.61228,0.92663,1.15694,0.78653,0.48707,0.55443,0.28567,1.50764,0.81995,1.14634,0.00476445,0.00476445,0.00476445
9,2537.7,1.59557,0.90146,1.14118,0.78689,0.49994,0.56762,0.29762,1.49975,0.79499,1.14534,0.00469386,0.00469386,0.00469386
10,2817.01,1.56773,0.8782,1.13321,0.80352,0.51031,0.58104,0.30281,1.47169,0.77144,1.13369,0.00461471,0.00461471,0.00461471
11,3096.93,1.54373,0.85666,1.12533,0.80849,0.51895,0.58869,0.30466,1.46835,0.75626,1.12604,0.00452732,0.00452732,0.00452732
12,3377.78,1.54588,0.84869,1.12382,0.79701,0.52099,0.58885,0.31158,1.46252,0.75324,1.12497,0.00443202,0.00443202,0.00443202
